Model,Removed Feature,MAE,RMSE,R2
Random Forest — All Features,None,481.7334122956304,740.4334498547873,0.2504022490773984
Random Forest — Ablation,Calories_rolling_mean_7,484.4383806886225,738.258014005464,0.2548005005951116
