Model,MAE,RMSE,R2
Linear Regression,239.6905988661755,299.90465362301074,-9.693843794211787e-05
Decision Tree,349.34562038077604,437.8657363362784,-1.1318547567909616
Random Forest,242.00841405051716,302.82167832838326,-0.019646452242011225
Linear Regression + Engineered,239.70246920130086,299.92231972292524,-0.00021476477103021807
