Model,MAE,RMSE,R2
Linear Regression,239.6905988661755,299.90465362301074,-9.693843794211789e-05
Linear Regression + Engineered,239.7024692013009,299.92231972292524,-0.0002147647710302
Neural Network,239.97834694274093,300.35797379964936,-0.0031226118047591456
Random Forest,242.0084140505172,302.82167832838326,-0.0196464522420112
Decision Tree,349.34562038077604,437.8657363362784,-1.1318547567909616
