model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Random Forest — All Features,373.7910621232759,94.39703488126128,563.8098814943988,154.0265649012071,0.438064813368267,0.1636527315710693
7-Day Mean,366.4455002665644,98.6326300290702,566.3899122991439,166.42279857806795,0.4324715565191854,0.1890181624067264
User Mean,367.93592284344,102.94097748129204,572.8225940867585,156.49728531967227,0.4198694585944822,0.1693263450399319
Linear Regression — Base,389.71712156006106,92.3465456184316,576.576570820521,141.1027110459971,0.4123999073488727,0.137670637866248
Decision Tree — Base,404.6027102845257,81.05177096834066,582.5245371353326,121.54511344931096,0.3992443735245514,0.1000775158483923
