Id,observations,MAE,RMSE,MeanResidual
6290855005,3,1096.2454384296198,1590.6376940800305,-1073.4467386444337
5577150313,4,912.5169259291958,1050.540600154968,-241.35309313009884
8792009665,3,859.6875733632332,1162.3261716319923,-859.6875733632332
8877689391,5,724.5102077067905,814.2342473261593,-246.37885793156573
8378563200,5,680.5396531870912,779.441720287722,-125.13034925768761
8583815059,5,648.094936554528,1296.0824289867585,-588.2364641621223
6117666160,2,586.8514885939069,807.2519354666365,-586.8514885939069
4319703577,5,576.4154188509605,887.9015436038411,-346.45755228822185
4388161847,5,555.770646748146,742.4871324288207,-284.39190651615615
8053475328,5,546.3999613587497,700.281013331838,-360.20183184041906
4020332650,5,486.15085721414727,789.396844100377,-421.6796246603175
2022484408,5,479.0441397549351,523.2976527263705,-8.28191342046748
5553957443,5,477.20816146390115,621.825377128131,-156.47280056307287
1844505072,5,467.9219315723161,552.2468031265064,-467.9219315723161
4702921684,5,439.8623768801972,771.6081277342802,-241.5359248728595
3977333714,4,437.19044019512444,751.3783973667838,-310.4473447398483
1644430081,4,435.2131838496598,754.9228474226612,-389.5999248308683
7086361926,5,420.55100858650775,740.1820346449368,-331.93386643458115
1503960366,5,419.73515856055,795.5027449090711,-402.6904214403238
4558609924,5,409.5721087960344,467.6489043545802,33.55388145116099
6962181067,5,370.7474182352568,503.11423404516756,-140.2593495228998
4445114986,5,347.08277077173955,500.250376894037,-68.06879221768614
1927972279,5,273.1102564581285,390.8744865587873,-273.1102564581285
1624580081,5,254.03834775921382,302.1960364969559,-254.03834775921382
2320127002,5,246.40172071176343,296.92320164124095,21.45647593704557
2026352035,5,221.81397485149745,265.49608470357225,-96.17657823706413
2873212765,5,162.12740887584724,237.26289160517578,-78.08466248472806
