fold,model,MAE,RMSE,R2,train_size,test_size
1,Random Forest — All Features,306.6997889495972,457.40751910348547,0.5511129637159926,256,154
2,Random Forest — All Features,332.9399851246001,493.5886755249238,0.51267922731141,410,145
3,Random Forest — All Features,481.7334122956305,740.4334498547873,0.2504022490773986,555,125
1,Random Forest — Without Calories History,429.81943328729625,576.0472489824222,0.2880546166730815,256,154
2,Random Forest — Without Calories History,474.96057508795207,628.0629646281543,0.2109747168946211,410,145
3,Random Forest — Without Calories History,566.6921764180776,763.606308262936,0.20274871228652147,555,125
