model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Random Forest — Absolute,373.7910621232759,94.39703488126128,563.8098814943988,154.02656490120708,0.438064813368267,0.16365273157106938
Random Forest — Personalized Target,372.06030733003803,91.26589307345162,573.0167820111593,144.40522058098546,0.419487342436985,0.14518274964420955
XGBoost — Personalized Target,384.05444935003015,80.17394946616768,582.8053816957163,133.30131503385942,0.3992956707516777,0.12215183165906454
XGBoost — Absolute,395.7691338291513,87.43583290516077,585.0638001309966,147.37450706470523,0.39497276892541855,0.15057034865377736
