Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Calories_lag_1,Calories_lag_2,Calories_lag_3,Calories_lag_7,TotalSteps_lag_1,TotalSteps_lag_2,TotalSteps_lag_3,TotalSteps_lag_7,TotalDistance_lag_1,TotalDistance_lag_2,TotalDistance_lag_3,TotalDistance_lag_7,VeryActiveMinutes_lag_1,VeryActiveMinutes_lag_2,VeryActiveMinutes_lag_3,VeryActiveMinutes_lag_7,FairlyActiveMinutes_lag_1,FairlyActiveMinutes_lag_2,FairlyActiveMinutes_lag_3,FairlyActiveMinutes_lag_7,LightlyActiveMinutes_lag_1,LightlyActiveMinutes_lag_2,LightlyActiveMinutes_lag_3,LightlyActiveMinutes_lag_7,SedentaryMinutes_lag_1,SedentaryMinutes_lag_2,SedentaryMinutes_lag_3,SedentaryMinutes_lag_7,Calories_rolling_mean_3,Calories_rolling_std_3,Calories_rolling_mean_7,Calories_rolling_std_7,TotalSteps_rolling_mean_3,TotalSteps_rolling_std_3,TotalSteps_rolling_mean_7,TotalSteps_rolling_std_7,TotalDistance_rolling_mean_3,TotalDistance_rolling_std_3,TotalDistance_rolling_mean_7,TotalDistance_rolling_std_7,VeryActiveMinutes_rolling_mean_3,VeryActiveMinutes_rolling_std_3,VeryActiveMinutes_rolling_mean_7,VeryActiveMinutes_rolling_std_7,LightlyActiveMinutes_rolling_mean_3,LightlyActiveMinutes_rolling_std_3,LightlyActiveMinutes_rolling_mean_7,LightlyActiveMinutes_rolling_std_7,SedentaryMinutes_rolling_mean_3,SedentaryMinutes_rolling_std_3,SedentaryMinutes_rolling_mean_7,SedentaryMinutes_rolling_std_7,target_calories_next_day
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,1921.0,1728.0,1863.0,1985.0,13019.0,9705.0,12669.0,13162.0,8.59000015258789,6.48000001907349,8.15999984741211,8.5,42.0,38.0,36.0,25.0,16.0,20.0,10.0,13.0,233.0,164.0,221.0,328.0,1149.0,539.0,773.0,728.0,1837.3333333333333,99.02693236354112,1830.7142857142858,95.76484094856923,11797.666666666666,1820.7320871927689,11358.857142857143,1538.7338332290642,7.743333339691163,1.1150037555317815,7.388571398598807,0.9936536802972107,38.666666666666664,3.0550504633038895,31.571428571428573,7.457817885886436,206.0,36.86461718233353,221.85714285714286,52.59413329586159,820.3333333333334,307.7423164488974,844.1428571428571,245.95760377988492,1786.0
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,2035.0,1921.0,1728.0,1797.0,15506.0,13019.0,9705.0,10735.0,9.88000011444092,8.59000015258789,6.48000001907349,6.96999979019165,50.0,42.0,38.0,21.0,31.0,16.0,20.0,19.0,264.0,233.0,164.0,217.0,775.0,1149.0,539.0,776.0,1894.6666666666667,155.18483602895398,1837.857142857143,109.99761902185061,12743.333333333334,2910.308288366258,11693.714285714286,2135.758078863,8.316666762034101,1.716401328046084,7.5857142720903665,1.3306622499304406,43.333333333333336,6.110100926607784,35.142857142857146,9.494359227607578,220.33333333333334,51.189191567491406,212.71428571428572,32.96823868369012,821.0,307.5906370486592,850.8571428571429,242.88092320547298,1775.0
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,1786.0,2035.0,1921.0,1776.0,10544.0,15506.0,13019.0,10460.0,6.67999982833862,9.88000011444092,8.59000015258789,6.73999977111816,28.0,50.0,42.0,30.0,12.0,31.0,16.0,11.0,205.0,264.0,233.0,181.0,818.0,775.0,1149.0,1218.0,1914.0,124.64750298341316,1836.2857142857142,110.75455488859785,13023.0,2481.002418378507,11666.42857142857,2151.211817956169,8.383333365122477,1.609979449727437,7.544285706111363,1.357274977555325,40.0,11.135528725660041,36.142857142857146,8.008923594519878,234.0,29.512709126747403,211.0,33.02019584032374,914.0,204.64847910502527,856.8571428571429,241.23669467380552,1827.0
1503960366,2016-04-22,12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,1775.0,1786.0,2035.0,1745.0,9819.0,10544.0,15506.0,9762.0,6.34000015258789,6.67999982833862,9.88000011444092,6.28000020980835,19.0,28.0,50.0,29.0,8.0,12.0,31.0,34.0,211.0,205.0,264.0,209.0,838.0,818.0,775.0,726.0,1865.3333333333333,147.0385436997161,1836.142857142857,110.84588185318175,11956.333333333334,3095.4008356484846,11574.857142857143,2223.551920432069,7.6333333651224775,1.953083090077706,7.487142903464182,1.4043825997049186,32.333333333333336,15.947831618540913,34.57142857142857,10.19570404397759,226.66666666666666,32.47049943153528,215.28571428571428,30.313441934309633,810.3333333333334,32.1921315437997,802.5714285714286,181.87620069968582,1949.0
1503960366,2016-04-23,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,1827.0,1775.0,1786.0,1863.0,12764.0,9819.0,10544.0,12669.0,8.13000011444092,6.34000015258789,6.67999982833862,8.15999984741211,66.0,19.0,28.0,36.0,27.0,8.0,12.0,10.0,130.0,211.0,205.0,221.0,1217.0,838.0,818.0,773.0,1796.0,27.404379212089044,1847.857142857143,103.7118260235681,11042.333333333334,1534.4407233038805,12003.714285714286,2101.7960346876125,7.050000031789144,0.9506314105759068,7.7514286041259775,1.310272637530178,37.666666666666664,24.94660965609021,39.857142857142854,15.192416654684134,182.0,45.13313638558702,204.0,44.45222154178573,957.6666666666666,224.81177311994432,872.7142857142857,234.4928671876924,1788.0
1503960366,2016-04-24,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,1949.0,1827.0,1775.0,1728.0,14371.0,12764.0,9819.0,9705.0,9.03999996185303,8.13000011444092,6.34000015258789,6.48000001907349,41.0,66.0,19.0,38.0,21.0,27.0,8.0,20.0,262.0,130.0,211.0,164.0,732.0,1217.0,838.0,539.0,1850.3333333333333,89.31591870060632,1860.142857142857,110.66530406504795,12318.0,2308.5413143368264,12246.857142857143,2282.2827336222995,7.836666742960613,1.3736932309019922,7.877142906188965,1.3954535338539948,42.0,23.515952032609693,40.57142857142857,15.09809196396621,201.0,66.56575696257048,209.85714285714286,49.48207948819643,929.0,254.98431324299145,866.8571428571429,237.88612722016708,2013.0
1503960366,2016-04-25,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,1788.0,1949.0,1827.0,1921.0,10039.0,14371.0,12764.0,13019.0,6.40999984741211,9.03999996185303,8.13000011444092,8.59000015258789,39.0,41.0,66.0,42.0,5.0,21.0,27.0,16.0,238.0,262.0,130.0,233.0,709.0,732.0,1217.0,1149.0,1854.6666666666667,83.99007877918275,1868.7142857142858,100.58945320081071,12391.333333333334,2189.91240311875,12294.57142857143,2223.006437023433,7.859999974568686,1.3356272710371275,7.867142881665911,1.4073345903598595,48.666666666666664,15.04437879519567,40.714285714285715,15.07441857048209,210.0,70.31358332498777,220.42857142857142,45.821600229793894,886.0,286.88499437928084,891.1428571428571,205.27983223836068,1970.0
1503960366,2016-04-26,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,2013.0,1788.0,1949.0,2035.0,15355.0,10039.0,14371.0,15506.0,9.80000019073486,6.40999984741211,9.03999996185303,9.88000011444092,73.0,39.0,41.0,50.0,14.0,5.0,21.0,31.0,216.0,238.0,262.0,264.0,814.0,709.0,732.0,775.0,1916.6666666666667,115.9324515971836,1881.857142857143,113.71371739508608,13255.0,2828.260242622663,12628.285714285714,2507.070515846846,8.416666666666666,1.7788855723733357,8.04000002997262,1.5752143495617519,51.0,19.07878402833891,45.142857142857146,19.437322958924252,238.66666666666666,23.00724523564984,218.0,45.493589291972405,751.6666666666666,55.19359866264675,843.2857142857143,171.39983886195682,2159.0
1503960366,2016-04-27,18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,1970.0,2013.0,1788.0,1786.0,13755.0,15355.0,10039.0,10544.0,8.78999996185303,9.80000019073486,6.40999984741211,6.67999982833862,31.0,73.0,39.0,28.0,23.0,14.0,5.0,12.0,279.0,216.0,238.0,205.0,833.0,814.0,709.0,818.0,1923.6666666666667,119.44175707571166,1872.5714285714287,101.07564352644856,13049.666666666666,2727.285341384971,12378.142857142857,2245.835436875064,8.333333333333334,1.7405268998595664,7.884285722460065,1.4080111535081425,47.666666666666664,22.30097157823697,42.42857142857143,19.96544634159346,244.33333333333334,31.973947728319878,220.14285714285714,48.288813650881124,785.3333333333334,66.78572701807865,851.5714285714286,168.93278460466374,1898.0
1503960366,2016-04-28,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,2159.0,1970.0,2013.0,1775.0,18134.0,13755.0,15355.0,9819.0,12.210000038147,8.78999996185303,9.80000019073486,6.34000015258789,78.0,31.0,73.0,19.0,11.0,23.0,14.0,8.0,243.0,279.0,216.0,211.0,1108.0,833.0,814.0,838.0,2047.3333333333333,99.06731718045722,1925.857142857143,139.02569135646397,15748.0,2215.794891229783,13462.42857142857,2938.2178190836953,10.266666730244962,1.7571093804275386,8.674285752432692,2.032558811985594,60.666666666666664,25.813433195399114,49.57142857142857,22.69990560081064,246.0,31.60696125855819,225.57142857142858,48.43847349252157,918.3333333333334,164.53064557502142,893.0,193.15106350557147,1837.0
